Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
10/30/2017,NH Liquor Store,NH LIQUOR STORE #38,17.94,debit,Alcohol & Bars,Venture,,
8/21/2017,NH Liquor Store,NH LIQUOR STORE #43,24.99,debit,Alcohol & Bars,Venture,,
8/7/2017,NH Liquor Store,NH LIQUOR STORE #43,24.99,debit,Alcohol & Bars,Venture,,
2/27/2017,NH Liquor Store,NH LIQUOR STORE #43,13.99,debit,Alcohol & Bars,Venture,,
11/22/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,159.59,debit,Auto Insurance,Venture,,
10/23/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,159.58,debit,Auto Insurance,Venture,,
9/21/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,159.58,debit,Auto Insurance,Venture,,
8/23/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,159.58,debit,Auto Insurance,Venture,,
7/22/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,159.58,debit,Auto Insurance,Venture,,
6/22/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,145.48,debit,Auto Insurance,Venture,,
5/24/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,145.49,debit,Auto Insurance,Venture,,
4/22/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,145.48,debit,Auto Insurance,Venture,,
3/22/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,145.49,debit,Auto Insurance,Venture,,
2/22/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,145.48,debit,Auto Insurance,Venture,,
1/23/2017,Liberty Mutual,LIBERTY MUTUAL RECUR,152.09,debit,Auto Insurance,Venture,,
12/21/2016,Liberty Mutual,LIBERTY MUTUAL RECUR,152.08,debit,Auto Insurance,Venture,,
11/23/2016,Liberty Mutual,LIBERTY MUTUAL RECUR,152.09,debit,Auto Insurance,Venture,,
10/22/2016,Liberty Mutual,LIBERTY MUTUAL RECUR,135.58,debit,Auto Insurance,Venture,,
9/21/2016,Liberty Mutual,LIBERTY MUTUAL RECUR,135.58,debit,Auto Insurance,Venture,,
8/24/2016,Liberty Mutual,LIBERTY MUTUAL RECUR,130.08,debit,Auto Insurance,Venture,,
7/21/2016,Liberty Mutual,LIBERTY MUTUAL RECUR,130.08,debit,Auto Insurance,Venture,,
11/14/2016,PORT CITY NISSAN INC,PORT CITY NISSAN INC,1000,debit,Auto Payment,Venture,,
10/11/2017,Amazon,Amazon,14.99,debit,Baby Supplies,Venture,,
9/26/2017,Amazon,Amazon,6.79,debit,Baby Supplies,Venture,,
9/23/2017,Amazon,Amazon,5.94,debit,Baby Supplies,Venture,,
9/23/2017,Amazon,Amazon,90.21,debit,Baby Supplies,Venture,,
9/7/2017,Amazon,Amazon,33.83,debit,Baby Supplies,Venture,,
8/24/2017,Amazon,Amazon,22.95,debit,Baby Supplies,Venture,,
7/28/2017,Amazon,Amazon,28.94,debit,Baby Supplies,Venture,,
6/15/2017,Amazon,Amazon,12.48,debit,Baby Supplies,Venture,,
6/14/2017,Amazon,Amazon,12.91,debit,Baby Supplies,Venture,,
6/1/2017,Amazon,Amazon,13.45,debit,Baby Supplies,Venture,,
5/27/2017,Amazon,Amazon,49,debit,Baby Supplies,Venture,,
5/16/2017,Amazon,Amazon,9.99,debit,Baby Supplies,Venture,,
5/15/2017,Amazon,Amazon,9.8,debit,Baby Supplies,Venture,,
10/23/2017,CARSEAT CANOPY LLC,CARSEAT CANOPY LLC,14.99,debit,Baby Supplies,Venture,,
10/5/2016,C J Bus,C AND J BUS LINES,96,debit,Bus/Train,Venture,,
1/13/2017,Time Warner,TWC*TIME WARNER CABLE,134.92,debit,Cable/ Internet,Venture,,
11/12/2016,Time Warner,TWC*TIME WARNER CABLE,132.66,debit,Cable/ Internet,Venture,,
10/14/2016,Time Warner,TWC*TIME WARNER CABLE,132.69,debit,Cable/ Internet,Venture,,
8/5/2017,Capital One,CAPITAL ONE MEMBER FEE,59,debit,Subscriptions,Venture,,
8/5/2016,Capital One,CAPITAL ONE MEMBER FEE,59,debit,Subscriptions,Venture,,
10/25/2017,AUTO AIR & VACUUM SERVICE,AUTO AIR & VACUUM SERVICE,1.5,debit,Car Wash,Venture,,
9/30/2016,AUTO AIR & VACUUM SERVICE,AUTO AIR & VACUUM SVC,1.5,debit,Car Wash,Venture,,
9/30/2016,AUTO AIR & VACUUM SERVICE,AUTO AIR & VACUUM SVC,1.5,debit,Car Wash,Venture,,
9/5/2016,WONDERLAND,WONDERLAND,5,debit,Car Wash,Venture,,
10/21/2017,Amazon,Amazon,11.99,debit,Clothing,Venture,,
10/18/2017,Amazon,Amazon,23.5,debit,Clothing,Venture,,
10/17/2017,Amazon,Amazon,23.53,debit,Clothing,Venture,,
12/16/2016,Fanatics.com,FRG*FANATICS.COM,59.98,debit,Clothing,Venture,,
5/8/2017,JCPenney,JCPENNEY 2250,17.99,debit,Clothing,Venture,,
