"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/05/2019","INTEREST CHARGE:PURCHASES","INTEREST CHARGE:PURCHASES","1.52","debit","Other Fees","Venture","",""
"10/30/2019","Microsoft","MICROSOFT *ONEDRIVE","1.99","debit","Electronics & Software","Venture","",""
"10/22/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"10/16/2019","CAPITAL ONE MOBILE payment AuthDate 16-Oct","CAPITAL ONE MOBILE PYMT AuthDate 16-O ct","209.58","credit","Credit Card Payment","Venture","",""
"10/12/2019","McDonald's","MCDONALD'S F25743","9.58","debit","Fast Food","Venture","",""
"10/09/2019","CAPITAL ONE MOBILE payment AuthDate 09-Oct","CAPITAL ONE MOBILE PYMT AuthDate 09-O ct","70.58","credit","Transfer","Venture","",""
"10/05/2019","AT&T","ATT*BILL PAYMENT","125.49","debit","Cable/ Internet","Venture","",""
"10/05/2019","INTEREST CHARGE:PURCHASES","INTEREST CHARGE:PURCHASES","5.32","debit","Finance Charge","Venture","",""
"10/02/2019","iTunes","APL* ITUNES.COM/BILL","3.87","debit","Music","Venture","",""
"10/01/2019","Old Navy","OLD NAVY ON-LINE","15.61","credit","Clothing","Venture","",""
"9/30/2019","Microsoft","MICROSOFT *ONEDRIVE","1.99","debit","Subscriptions","Venture","",""
"9/28/2019","LEVELUP*TROPICALSMOOTH","LEVELUP*TROPICALSMOOTH","10.32","debit","Fast Food","Venture","",""
"9/26/2019","Travel Reward","CREDIT-TRAVEL REWARD","7.21","credit","Credit Card Rewards","Venture","",""
"9/23/2019","iTunes","APL*ITUNES.COM/BILL","7.86","debit","Music","Venture","",""
"9/23/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"9/23/2019","CAPITAL ONE MOBILE payment AuthDate 23-Sep","CAPITAL ONE MOBILE PYMT AuthDate 23-S ep","150.00","credit","Transfer","Venture","",""
"9/18/2019","iTunes","APL* ITUNES.COM/BILL","2.58","debit","Music","Venture","",""
"9/13/2019","McDonald's","MCDONALD'S F25743","11.41","debit","Fast Food","Venture","",""
"9/12/2019","CAPITAL ONE MOBILE payment AuthDate 12-S ep","CAPITAL ONE MOBILE PYMT AuthDate 12-S ep","150.00","credit","Transfer","Venture","",""
"9/11/2019","Old Navy","OLD NAVY ON-LINE","4.74","debit","Clothing","Venture","",""
"9/10/2019","Old Navy","OLD NAVY ON-LINE","10.87","debit","Clothing","Venture","",""
"9/05/2019","INTEREST CHARGE:PURCHASES","INTEREST CHARGE:PURCHASES","5.36","debit","Other Fees","Venture","",""
"9/03/2019","McDonald's","MCDONALD'S F25743","10.10","debit","Fast Food","Venture","",""
